Age,Job Title,Years of Experience,Salary,Gender_Female,Gender_Male,Gender_Other,Education Level_High School,Education Level_Bachelor's,Education Level_Bachelor's Degree,Education Level_Master's,Education Level_Master's Degree,Education Level_PhD,Seniority
29.0,100,3.0,40000.0,1,0,0,0,1,0,0,0,0,1
52.0,76,25.0,170000.0,1,0,0,0,0,0,1,0,0,10
33.0,6,7.0,75000.0,0,1,0,0,1,0,0,0,0,0
47.0,98,22.0,160000.0,0,1,0,0,0,0,0,0,1,9
26.0,111,1.0,35000.0,0,1,0,0,1,0,0,0,0,6
35.0,89,8.0,95000.0,0,1,0,0,0,0,1,0,0,7
33.0,128,5.0,50000.0,0,1,0,0,1,0,0,0,0,6
41.0,73,14.0,100000.0,1,0,0,0,0,0,1,0,0,10
42.0,55,15.0,110000.0,1,0,0,0,0,0,1,0,0,10
32.0,6,6.0,90000.0,0,1,0,0,0,0,1,0,0,10
23.0,73,0.5,35000.0,1,0,0,0,1,0,0,0,0,6
31.0,50,6.0,95000.0,0,1,0,0,0,0,1,0,0,10
29.0,57,3.0,45000.0,1,0,0,0,1,0,0,0,0,6
35.0,88,10.0,120000.0,0,1,0,0,0,0,1,0,0,10
42.0,103,17.0,100000.0,1,0,0,0,1,0,0,0,0,7
53.0,42,25.0,180000.0,0,1,0,0,0,0,1,0,0,4
37.0,57,9.0,95000.0,1,0,0,0,0,0,1,0,0,10
32.0,74,4.0,50000.0,1,0,0,0,1,0,0,0,0,4
34.0,111,8.0,105000.0,0,1,0,0,0,0,1,0,0,10
47.0,98,22.0,160000.0,0,1,0,0,0,0,0,0,1,10
27.0,105,1.0,35000.0,0,1,0,0,1,0,0,0,0,6
46.0,92,19.0,140000.0,0,1,0,0,0,0,1,0,0,10
30.0,76,4.0,50000.0,1,0,0,0,1,0,0,0,0,6
36.0,24,7.0,60000.0,0,1,0,0,1,0,0,0,0,6
43.0,89,14.0,120000.0,1,0,0,0,0,0,1,0,0,10
28.0,6,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
41.0,76,13.0,110000.0,1,0,0,0,0,0,1,0,0,10
33.0,111,5.0,50000.0,0,1,0,0,1,0,0,0,0,6
47.0,103,20.0,135000.0,0,1,0,0,1,0,0,0,0,10
34.0,6,8.0,90000.0,0,1,0,0,1,0,0,0,0,10
42.0,27,16.0,150000.0,1,0,0,0,0,0,0,0,1,10
31.0,92,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
43.0,86,18.0,140000.0,1,0,0,0,0,0,0,0,1,10
37.0,73,9.0,95000.0,1,0,0,0,0,0,1,0,0,10
32.0,50,5.0,50000.0,1,0,0,0,1,0,0,0,0,6
33.0,83,7.0,115000.0,0,1,0,0,0,0,1,0,0,10
28.0,112,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
39.0,105,12.0,90000.0,1,0,0,0,1,0,0,0,0,10
35.0,74,7.0,80000.0,0,1,0,0,1,0,0,0,0,10
41.0,63,13.0,120000.0,1,0,0,0,0,0,1,0,0,10
31.0,56,4.0,50000.0,1,0,0,0,1,0,0,0,0,6
34.0,112,9.0,105000.0,0,1,0,0,0,0,1,0,0,10
29.0,74,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
43.0,92,16.0,140000.0,0,1,0,0,1,0,0,0,0,10
26.0,27,1.5,45000.0,1,0,0,0,0,0,1,0,0,6
42.0,76,18.0,140000.0,1,0,0,0,0,0,0,0,1,10
38.0,61,10.0,80000.0,1,0,0,0,1,0,0,0,0,10
29.0,105,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
37.0,6,9.0,105000.0,0,1,0,0,0,0,1,0,0,10
27.0,88,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
33.0,50,6.0,95000.0,1,0,0,0,0,0,1,0,0,10
34.0,88,7.0,95000.0,0,1,0,0,1,0,0,0,0,10
28.0,6,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
41.0,74,11.0,90000.0,1,0,0,0,1,0,0,0,0,10
45.0,24,17.0,155000.0,0,1,0,0,0,0,0,0,1,10
35.0,111,9.0,110000.0,0,1,0,0,0,0,1,0,0,10
44.0,103,16.0,130000.0,0,1,0,0,1,0,0,0,0,10
41.0,75,17.0,160000.0,1,0,0,0,0,0,0,0,1,10
31.0,57,4.0,50000.0,0,1,0,0,1,0,0,0,0,6
39.0,83,10.0,120000.0,1,0,0,0,1,0,0,0,0,10
30.0,74,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
45.0,86,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
44.0,112,14.0,130000.0,0,1,0,0,1,0,0,0,0,10
40.0,105,12.0,100000.0,1,0,0,0,1,0,0,0,0,10
48.0,42,19.0,170000.0,0,1,0,0,0,0,1,0,0,4
42.0,63,13.0,140000.0,1,0,0,0,0,0,1,0,0,10
28.0,50,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
40.0,76,11.0,105000.0,1,0,0,0,1,0,0,0,0,10
46.0,27,18.0,160000.0,0,1,0,0,0,0,0,0,1,10
33.0,83,5.0,70000.0,1,0,0,0,1,0,0,0,0,6
43.0,92,15.0,120000.0,0,1,0,0,1,0,0,0,0,10
27.0,98,1.5,50000.0,1,0,0,0,0,0,1,0,0,6
42.0,76,13.0,140000.0,1,0,0,0,0,0,0,0,1,10
32.0,105,3.0,45000.0,0,1,0,0,1,0,0,0,0,6
37.0,50,9.0,100000.0,1,0,0,0,1,0,0,0,0,10
45.0,111,16.0,140000.0,0,1,0,0,0,0,1,0,0,10
29.0,6,1.5,40000.0,0,1,0,0,1,0,0,0,0,6
38.0,88,10.0,120000.0,1,0,0,0,1,0,0,0,0,10
46.0,24,19.0,150000.0,0,1,0,0,0,0,0,0,1,10
34.0,73,6.0,70000.0,1,0,0,0,1,0,0,0,0,6
36.0,83,8.0,95000.0,0,1,0,0,1,0,0,0,0,10
49.0,42,21.0,180000.0,1,0,0,0,0,0,1,0,0,4
31.0,50,3.0,50000.0,0,1,0,0,1,0,0,0,0,6
30.0,74,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
45.0,86,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
44.0,112,14.0,130000.0,0,1,0,0,1,0,0,0,0,10
37.0,51,10.0,120000.0,1,0,0,0,1,0,0,0,0,10
46.0,27,18.0,160000.0,0,1,0,0,0,0,0,0,1,10
31.0,74,3.0,50000.0,1,0,0,0,1,0,0,0,0,6
42.0,83,12.0,110000.0,0,1,0,0,1,0,0,0,0,10
29.0,105,1.5,40000.0,1,0,0,0,1,0,0,0,0,6
33.0,83,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
39.0,74,9.0,110000.0,1,0,0,0,1,0,0,0,0,10
32.0,76,4.0,60000.0,1,0,0,0,1,0,0,0,0,6
37.0,50,8.0,90000.0,0,1,0,0,1,0,0,0,0,10
47.0,42,20.0,180000.0,1,0,0,0,0,0,1,0,0,4
30.0,6,2.0,40000.0,0,1,0,0,1,0,0,0,0,6
38.0,92,9.0,120000.0,1,0,0,0,1,0,0,0,0,10
46.0,24,17.0,160000.0,0,1,0,0,0,0,0,0,1,10
34.0,50,5.0,70000.0,1,0,0,0,1,0,0,0,0,6
36.0,88,8.0,95000.0,0,1,0,0,1,0,0,0,0,10
47.0,42,19.0,170000.0,0,1,0,0,0,0,1,0,0,4
35.0,51,9.0,100000.0,0,1,0,0,1,0,0,0,0,10
44.0,86,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
33.0,6,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
44.0,112,13.0,130000.0,0,1,0,0,1,0,0,0,0,10
32.0,88,4.0,65000.0,0,1,0,0,1,0,0,0,0,6
38.0,6,10.0,110000.0,1,0,0,0,1,0,0,0,0,10
33.0,50,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
40.0,76,12.0,130000.0,1,0,0,0,1,0,0,0,0,10
44.0,27,16.0,160000.0,0,1,0,0,0,0,0,0,1,10
37.0,73,9.0,100000.0,0,1,0,0,1,0,0,0,0,10
48.0,39,20.0,180000.0,1,0,0,0,0,0,1,0,0,4
31.0,92,3.0,55000.0,0,1,0,0,1,0,0,0,0,6
33.0,76,5.0,70000.0,1,0,0,0,1,0,0,0,0,6
36.0,6,8.0,95000.0,0,1,0,0,1,0,0,0,0,10
49.0,42,21.0,180000.0,1,0,0,0,0,0,1,0,0,4
42.0,92,12.0,120000.0,1,0,0,0,1,0,0,0,0,10
47.0,42,19.0,170000.0,0,1,0,0,0,0,1,0,0,4
35.0,51,9.0,100000.0,0,1,0,0,1,0,0,0,0,10
44.0,86,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
33.0,6,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
44.0,112,13.0,130000.0,0,1,0,0,1,0,0,0,0,10
30.0,56,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
45.0,76,16.0,160000.0,1,0,0,0,0,0,1,0,0,10
39.0,92,12.0,130000.0,1,0,0,0,1,0,0,0,0,10
29.0,73,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
36.0,83,9.0,100000.0,0,1,0,0,1,0,0,0,0,10
43.0,27,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
32.0,74,3.0,55000.0,0,1,0,0,1,0,0,0,0,6
38.0,6,10.0,110000.0,1,0,0,0,1,0,0,0,0,10
48.0,42,21.0,180000.0,0,1,0,0,0,0,1,0,0,4
40.0,50,12.0,130000.0,0,1,0,0,1,0,0,0,0,10
33.0,88,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
36.0,76,8.0,95000.0,1,0,0,0,1,0,0,0,0,10
29.0,92,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
44.0,6,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
35.0,51,8.0,90000.0,1,0,0,0,1,0,0,0,0,10
43.0,42,18.0,170000.0,0,1,0,0,0,0,1,0,0,4
31.0,50,3.0,50000.0,1,0,0,0,1,0,0,0,0,6
41.0,88,14.0,150000.0,0,1,0,0,1,0,0,0,0,10
33.0,6,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
28.0,83,1.0,35000.0,1,0,0,0,1,0,0,0,0,6
44.0,27,16.0,160000.0,1,0,0,0,0,0,0,0,1,10
31.0,74,3.0,55000.0,0,1,0,0,1,0,0,0,0,6
38.0,6,10.0,110000.0,1,0,0,0,1,0,0,0,0,10
48.0,42,21.0,180000.0,0,1,0,0,0,0,1,0,0,4
40.0,50,12.0,130000.0,0,1,0,0,1,0,0,0,0,10
33.0,88,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
36.0,76,8.0,95000.0,1,0,0,0,1,0,0,0,0,10
29.0,92,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
44.0,6,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
35.0,51,8.0,90000.0,1,0,0,0,1,0,0,0,0,10
43.0,42,18.0,170000.0,0,1,0,0,0,0,1,0,0,4
31.0,50,3.0,50000.0,1,0,0,0,1,0,0,0,0,6
41.0,88,14.0,150000.0,0,1,0,0,1,0,0,0,0,10
33.0,6,4.0,60000.0,0,1,0,0,1,0,0,0,0,6
35.0,73,8.0,85000.0,1,0,0,0,1,0,0,0,0,10
29.0,92,2.0,40000.0,1,0,0,0,1,0,0,0,0,6
44.0,6,15.0,150000.0,1,0,0,0,0,0,0,0,1,10
31.0,27,6.0,160000.0,0,1,0,0,0,0,1,0,0,9
28.0,112,3.0,125000.0,1,0,0,0,1,0,0,0,0,5
26.0,88,2.0,120000.0,0,1,0,0,0,0,1,0,0,7
27.0,24,2.0,110000.0,1,0,0,0,1,0,0,0,0,0
30.0,27,5.0,180000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
32.0,88,7.0,170000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
28.0,112,3.0,125000.0,0,1,0,0,1,0,0,0,0,5
26.0,88,2.0,120000.0,1,0,0,0,0,0,1,0,0,7
27.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,5.0,180000.0,1,0,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
32.0,88,7.0,170000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
28.0,112,3.0,125000.0,0,1,0,0,1,0,0,0,0,5
26.0,88,2.0,120000.0,1,0,0,0,0,0,1,0,0,7
27.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,5.0,180000.0,1,0,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
32.0,88,7.0,170000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
28.0,112,3.0,125000.0,0,1,0,0,1,0,0,0,0,5
26.0,88,2.0,120000.0,1,0,0,0,0,0,1,0,0,7
27.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,5.0,180000.0,1,0,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
32.0,88,7.0,170000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
28.0,112,3.0,125000.0,0,1,0,0,1,0,0,0,0,5
26.0,88,2.0,120000.0,1,0,0,0,0,0,1,0,0,7
27.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,5.0,180000.0,1,0,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
32.0,88,7.0,170000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
25.0,24,1.0,100000.0,1,0,0,0,0,0,1,0,0,0
33.0,27,8.0,190000.0,0,1,0,0,0,0,0,0,1,9
31.0,112,6.0,155000.0,1,0,0,0,1,0,0,0,0,5
28.0,88,3.0,130000.0,0,1,0,0,0,0,1,0,0,7
30.0,24,5.0,145000.0,1,0,0,0,1,0,0,0,0,0
27.0,27,2.0,115000.0,0,1,0,0,0,0,0,0,1,9
29.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,9.0,185000.0,0,1,0,0,1,0,0,0,0,7
26.0,24,3.0,130000.0,0,1,0,0,1,0,0,0,0,0
29.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
32.0,112,8.0,190000.0,0,1,0,0,1,0,0,0,0,5
27.0,88,4.0,150000.0,1,0,0,0,1,0,0,0,0,7
24.0,24,1.0,90000.0,0,1,0,0,1,0,0,0,0,0
31.0,27,9.0,195000.0,1,0,0,0,0,0,1,0,0,9
28.0,112,5.0,160000.0,0,1,0,0,1,0,0,0,0,5
33.0,88,11.0,198000.0,1,0,0,0,0,0,1,0,0,7
25.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,7.0,185000.0,1,0,0,0,0,0,0,0,1,9
27.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
34.0,88,12.0,196000.0,1,0,0,0,0,0,1,0,0,7
23.0,24,1.0,95000.0,0,1,0,0,1,0,0,0,0,0
32.0,27,10.0,193000.0,1,0,0,0,0,0,0,0,1,9
29.0,112,6.0,175000.0,0,1,0,0,1,0,0,0,0,5
30.0,88,5.0,160000.0,1,0,0,0,1,0,0,0,0,7
26.0,24,3.0,130000.0,0,1,0,0,1,0,0,0,0,0
31.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
28.0,112,5.0,160000.0,0,1,0,0,1,0,0,0,0,5
33.0,88,11.0,198000.0,1,0,0,0,0,0,1,0,0,7
24.0,24,1.0,90000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,7.0,185000.0,1,0,0,0,0,0,0,0,1,9
27.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
34.0,88,12.0,196000.0,1,0,0,0,0,0,1,0,0,7
25.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
29.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
32.0,112,8.0,190000.0,0,1,0,0,1,0,0,0,0,5
27.0,88,4.0,150000.0,1,0,0,0,1,0,0,0,0,7
31.0,24,9.0,195000.0,0,1,0,0,1,0,0,0,0,0
28.0,112,5.0,160000.0,1,0,0,0,1,0,0,0,0,5
33.0,88,11.0,198000.0,0,1,0,0,0,0,1,0,0,7
26.0,24,3.0,130000.0,1,0,0,0,1,0,0,0,0,0
30.0,27,7.0,185000.0,0,1,0,0,0,0,0,0,1,9
27.0,112,4.0,140000.0,1,0,0,0,1,0,0,0,0,5
34.0,88,12.0,196000.0,0,1,0,0,0,0,1,0,0,7
25.0,24,2.0,110000.0,1,0,0,0,1,0,0,0,0,0
32.0,112,8.0,190000.0,0,1,0,0,1,0,0,0,0,5
29.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
30.0,24,5.0,160000.0,0,1,0,0,1,0,0,0,0,0
33.0,88,11.0,198000.0,1,0,0,0,0,0,1,0,0,7
24.0,24,1.0,90000.0,0,1,0,0,1,0,0,0,0,0
31.0,27,9.0,195000.0,1,0,0,0,0,0,0,0,1,9
28.0,112,5.0,160000.0,0,1,0,0,1,0,0,0,0,5
27.0,88,4.0,150000.0,1,0,0,0,1,0,0,0,0,7
26.0,24,3.0,130000.0,0,1,0,0,1,0,0,0,0,0
29.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
32.0,112,8.0,190000.0,0,1,0,0,1,0,0,0,0,5
33.0,88,11.0,198000.0,1,0,0,0,0,0,1,0,0,7
25.0,24,2.0,110000.0,0,1,0,0,1,0,0,0,0,0
30.0,27,7.0,185000.0,1,0,0,0,0,0,0,0,1,9
27.0,112,4.0,140000.0,0,1,0,0,1,0,0,0,0,5
34.0,88,12.0,196000.0,1,0,0,0,0,0,1,0,0,7
31.0,24,9.0,195000.0,0,1,0,0,1,0,0,0,0,0
28.0,112,5.0,160000.0,1,0,0,0,1,0,0,0,0,5
26.0,24,3.0,130000.0,0,1,0,0,1,0,0,0,0,0
29.0,27,6.0,180000.0,1,0,0,0,0,0,1,0,0,9
32.0,112,8.0,190000.0,0,1,0,0,1,0,0,0,0,5
33.0,88,11.0,198000.0,1,0,0,0,0,0,1,0,0,7
