Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Category,Job Type
49.0,Male,PhD,Operations,21.0,180000.0,Director,Operations & Logistics
33.0,Male,Bachelor's,Financial Analyst,4.0,60000.0,Junior,Data & Analytics
40.0,Female,Bachelor's,Marketing Manager,12.0,130000.0,Senior,Management
44.0,Male,PhD,Data Scientist,16.0,160000.0,Senior,Data & Analytics
37.0,Male,Bachelor's,Marketing Analyst,9.0,100000.0,Senior,Data & Analytics
48.0,Female,Master's,HR,20.0,180000.0,Director,Human Resources
31.0,Male,Bachelor's,Project Manager,3.0,55000.0,Junior,Management
33.0,Female,Bachelor's,Marketing Manager,5.0,70000.0,Junior,Management
36.0,Male,Bachelor's,Business Analyst,8.0,95000.0,Senior,Data & Analytics
49.0,Female,Master's,Marketing,21.0,180000.0,Director,Sales & Marketing
42.0,Female,Bachelor's,Project Manager,12.0,120000.0,Senior,Management
47.0,Male,Master's,Marketing,19.0,170000.0,Director,Sales & Marketing
35.0,Male,Bachelor's,Financial Manager,9.0,100000.0,Senior,Management
44.0,Female,PhD,Product Designer,15.0,150000.0,Senior,Design & Creative
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior,Data & Analytics
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
44.0,Male,Bachelor's,Software Engineer,13.0,130000.0,Senior,Software & IT
30.0,Female,Bachelor's,HR Coordinator,2.0,40000.0,Junior,Human Resources
45.0,Female,Master's,Marketing Manager,16.0,160000.0,Senior,Management
39.0,Female,Bachelor's,Project Manager,12.0,130000.0,Senior,Management
29.0,Female,Bachelor's,Marketing Analyst,2.0,40000.0,Junior,Data & Analytics
36.0,Male,Bachelor's,Operations Manager,9.0,100000.0,Senior,Management
43.0,Female,PhD,Data Scientist,15.0,150000.0,Senior,Data & Analytics
32.0,Male,Bachelor's,Marketing Coordinator,3.0,55000.0,Junior,Sales & Marketing
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior,Data & Analytics
48.0,Male,Master's,Marketing,21.0,180000.0,Director,Sales & Marketing
40.0,Male,Bachelor's,Financial Analyst,12.0,130000.0,Senior,Data & Analytics
33.0,Male,Bachelor's,Product Manager,4.0,60000.0,Junior,Management
36.0,Female,Bachelor's,Marketing Manager,8.0,95000.0,Senior,Management
47.0,Male,Master's,Operations,19.0,170000.0,Director,Operations & Logistics
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior,Management
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior,Data & Analytics
35.0,Female,Bachelor's,Financial Manager,8.0,90000.0,Senior,Management
43.0,Male,Master's,Marketing,18.0,170000.0,Director,Sales & Marketing
31.0,Female,Bachelor's,Financial Analyst,3.0,50000.0,Junior,Data & Analytics
41.0,Male,Bachelor's,Product Manager,14.0,150000.0,Senior,Management
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior,Data & Analytics
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
28.0,Female,Bachelor's,Operations Manager,1.0,35000.0,Junior,Management
44.0,Female,PhD,Data Scientist,16.0,160000.0,Senior,Data & Analytics
31.0,Male,Bachelor's,Marketing Coordinator,3.0,55000.0,Junior,Sales & Marketing
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior,Data & Analytics
48.0,Male,Master's,Marketing,21.0,180000.0,Director,Sales & Marketing
40.0,Male,Bachelor's,Financial Analyst,12.0,130000.0,Senior,Data & Analytics
33.0,Male,Bachelor's,Product Manager,4.0,60000.0,Junior,Management
36.0,Female,Bachelor's,Marketing Manager,8.0,95000.0,Senior,Management
47.0,Male,Master's,Operations,19.0,170000.0,Director,Operations & Logistics
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior,Management
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior,Data & Analytics
35.0,Female,Bachelor's,Financial Manager,8.0,90000.0,Senior,Management
43.0,Male,Master's,Marketing,18.0,170000.0,Director,Sales & Marketing
31.0,Female,Bachelor's,Financial Analyst,3.0,50000.0,Junior,Data & Analytics
41.0,Male,Bachelor's,Product Manager,14.0,150000.0,Senior,Management
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior,Data & Analytics
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
43.0,Male,Master's,Operations,19.0,170000.0,Director,Operations & Logistics
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior,Management
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior,Data & Analytics
31.0,Male,Master's,Data Scientist,6.0,160000.0,Regular,Data & Analytics
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0,Regular,Software & IT
26.0,Male,Master's,Product Manager,2.0,120000.0,Regular,Management
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Male,PhD,Data Scientist,5.0,180000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,Regular,Software & IT
26.0,Female,Master's,Product Manager,2.0,120000.0,Regular,Management
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Female,PhD,Data Scientist,5.0,180000.0,Regular,Data & Analytics
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,Regular,Software & IT
26.0,Female,Master's,Product Manager,2.0,120000.0,Regular,Management
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Female,PhD,Data Scientist,5.0,180000.0,Regular,Data & Analytics
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,Regular,Software & IT
26.0,Female,Master's,Product Manager,2.0,120000.0,Regular,Management
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Female,PhD,Data Scientist,5.0,180000.0,Regular,Data & Analytics
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,Regular,Software & IT
26.0,Female,Master's,Product Manager,2.0,120000.0,Regular,Management
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Female,PhD,Data Scientist,5.0,180000.0,Regular,Data & Analytics
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
25.0,Female,Master's,Data Analyst,1.0,100000.0,Regular,Data & Analytics
33.0,Male,PhD,Data Scientist,8.0,190000.0,Regular,Data & Analytics
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,Regular,Software & IT
28.0,Male,Master's,Product Manager,3.0,130000.0,Regular,Management
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,Regular,Data & Analytics
27.0,Male,PhD,Data Scientist,2.0,115000.0,Regular,Data & Analytics
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,Regular,Software & IT
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,Regular,Management
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0,Regular,Data & Analytics
29.0,Female,Master's,Data Scientist,6.0,180000.0,Regular,Data & Analytics
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0,Regular,Software & IT
27.0,Female,Bachelor's,Product Manager,4.0,150000.0,Regular,Management
24.0,Male,Bachelor's,Data Analyst,1.0,90000.0,Regular,Data & Analytics
31.0,Female,Master's,Data Scientist,9.0,195000.0,Regular,Data & Analytics
28.0,Male,Bachelor's,Software Engineer,5.0,160000.0,Regular,Software & IT
33.0,Female,Master's,Product Manager,11.0,198000.0,Regular,Management
25.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Regular,Data & Analytics
30.0,Female,PhD,Data Scientist,7.0,185000.0,Regular,Data & Analytics
